start_node,end_node,length_m,street_id,street_name,highway_type,pipe_type,building_served,temperature_c,flow_direction,follows_street
"(456058.11809138657, 5734196.256316168)","(456063.42425667564, 5734194.4526543)",5.60433637543125,776,Street_776,residential,supply,934,70,plant_to_building,True
"(456063.42425667564, 5734194.4526543)","(456069.82272078306, 5734179.39255922)",16.362970596986422,777,Street_777,residential,supply,934,70,plant_to_building,True
"(456069.82272078306, 5734179.39255922)","(456072.2265591328, 5734175.634423597)",4.461168252238666,777,Street_777,residential,supply,934,70,plant_to_building,True
"(456017.963882658, 5733374.8540759)","(456082.5092361206, 5733341.879872761)",72.48034717289603,1019,Street_1019,residential,supply,948,70,plant_to_building,True
"(456082.5092361206, 5733341.879872761)","(456099.83034422493, 5733402.813600829)",63.34777030206165,936,Street_936,residential,supply,948,70,plant_to_building,True
"(455763.2284690041, 5734679.7653059745)","(455775.39969368826, 5734678.546117389)",12.232135182392474,1054,Street_1054,residential,supply,950,70,plant_to_building,True
"(455775.39969368826, 5734678.546117389)","(455776.8519455526, 5734705.58334614)",27.076203094437933,1053,Street_1053,residential,supply,950,70,plant_to_building,True
"(455776.8519455526, 5734705.58334614)","(455818.13622731494, 5734772.8791824225)",78.95012033964508,277,Street_277,residential,supply,950,70,plant_to_building,True
"(455818.13622731494, 5734772.8791824225)","(455817.40027664485, 5734784.96470639)",12.107911172493427,294,Street_294,residential,supply,950,70,plant_to_building,True
"(455817.40027664485, 5734784.96470639)","(455859.8966553487, 5734785.1925240075)",42.496989349934836,295,Street_295,residential,supply,950,70,plant_to_building,True
"(455859.8966553487, 5734785.1925240075)","(455875.9897504557, 5734785.763282868)",16.10321321351684,1024,Street_1024,residential,supply,950,70,plant_to_building,True
"(455875.9897504557, 5734785.763282868)","(455880.4623757712, 5734786.580516455)",4.546674383313625,1024,Street_1024,residential,supply,950,70,plant_to_building,True
"(455880.4623757712, 5734786.580516455)","(455888.744233939, 5734792.847779036)",10.385940254405043,1024,Street_1024,residential,supply,950,70,plant_to_building,True
"(455888.744233939, 5734792.847779036)","(455891.32970701857, 5734794.1153372945)",2.879474775910459,1024,Street_1024,residential,supply,950,70,plant_to_building,True
"(455891.32970701857, 5734794.1153372945)","(455908.10041784984, 5734797.983650994)",17.211060184089476,1024,Street_1024,residential,supply,950,70,plant_to_building,True
"(455908.10041784984, 5734797.983650994)","(455916.9313184654, 5734799.174279123)",8.910802490425256,1038,Street_1038,residential,supply,950,70,plant_to_building,True
