building_id,building_x,building_y,connection_x,connection_y,distance_to_street,street_segment_id,street_name,heating_load_kw,annual_heat_demand_kwh,building_type,building_area_m2,pipe_type,temperature_c,flow_direction,follows_street,connected_to_supply_pipe,connected_to_return_pipe
482,455837.97359934024,5733559.381314122,455839.6473503521,5733589.777451378,30.442184588920068,1052,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
489,455858.556174738,5734339.979058037,455885.6842005972,5734342.790632289,27.273333804216026,714,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
489,455858.556174738,5734339.979058037,455885.6842005972,5734342.790632289,27.273333804216026,714,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
497,455850.4441961059,5733483.177018847,455857.54690738604,5733456.5508813085,27.557207909460082,1018,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
497,455850.4441961059,5733483.177018847,455857.54690738604,5733456.5508813085,27.557207909460082,1018,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
499,455849.585650975,5733648.251362522,455856.2436671589,5733645.744990222,7.114146583455245,697,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
499,455849.585650975,5733648.251362522,455856.2436671589,5733645.744990222,7.114146583455245,697,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
501,455858.08649955556,5734113.86002181,455875.9592437836,5734137.276137584,29.457587548461518,634,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
501,455858.08649955556,5734113.86002181,455875.9592437836,5734137.276137584,29.457587548461518,634,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
511,455858.72549766814,5733740.785280902,455877.96135003946,5733715.048085245,32.13131271391026,266,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
511,455858.72549766814,5733740.785280902,455877.96135003946,5733715.048085245,32.13131271391026,266,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
516,455870.2670799063,5734104.468653689,455891.31102211773,5734123.116139624,28.117187546032962,784,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
516,455870.2670799063,5734104.468653689,455891.31102211773,5734123.116139624,28.117187546032962,784,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
519,455864.9319072782,5733611.887913793,455852.1730240744,5733613.725610757,12.890548116317238,1052,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
519,455864.9319072782,5733611.887913793,455852.1730240744,5733613.725610757,12.890548116317238,1052,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
531,455874.247556108,5734076.871861486,455917.40690519643,5734082.535127638,43.52932341821886,401,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
531,455874.247556108,5734076.871861486,455917.40690519643,5734082.535127638,43.52932341821886,401,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
540,455880.04390100826,5733637.817441941,455859.49556752644,5733628.465478596,22.576386497530688,228,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
540,455880.04390100826,5733637.817441941,455859.49556752644,5733628.465478596,22.576386497530688,228,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
549,455879.2899912796,5733948.12927257,455925.5901925232,5733948.871013421,46.30614229978484,588,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
549,455879.2899912796,5733948.12927257,455925.5901925232,5733948.871013421,46.30614229978484,588,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
570,455885.71461883496,5733658.883844743,455876.5383040328,5733661.361091575,9.5048148438131,356,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
570,455885.71461883496,5733658.883844743,455876.5383040328,5733661.361091575,9.5048148438131,356,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
577,455894.0599995556,5734106.810021807,455903.0645148057,5734115.02722637,12.19031360176456,784,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
577,455894.0599995556,5734106.810021807,455903.0645148057,5734115.02722637,12.19031360176456,784,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
603,455907.3353132055,5733718.31617392,455898.1814400712,5733704.849586196,16.283193123317297,286,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
603,455907.3353132055,5733718.31617392,455898.1814400712,5733704.849586196,16.283193123317297,286,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
613,455901.01152882836,5733471.408701967,455912.6338189888,5733428.4956664955,44.45904004798396,1019,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
613,455901.01152882836,5733471.408701967,455912.6338189888,5733428.4956664955,44.45904004798396,1019,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
626,455911.06073483586,5733662.827725321,455893.7363362423,5733686.002501049,28.934495272479065,1108,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
626,455911.06073483586,5733662.827725321,455893.7363362423,5733686.002501049,28.934495272479065,1108,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
637,455918.43564447336,5734062.304297711,455924.9410269696,5734058.45567017,7.5585670185003595,401,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
637,455918.43564447336,5734062.304297711,455924.9410269696,5734058.45567017,7.5585670185003595,401,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
643,455925.2207069699,5734389.98244724,455932.7686692792,5734412.550262391,23.796596725473318,808,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
643,455925.2207069699,5734389.98244724,455932.7686692792,5734412.550262391,23.796596725473318,808,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
645,455920.77855172346,5733525.859598205,455962.5884653111,5733527.949788551,41.862128109856286,1035,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
645,455920.77855172346,5733525.859598205,455962.5884653111,5733527.949788551,41.862128109856286,1035,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
686,455937.0185728057,5733811.993896916,455982.1227053648,5733812.748663199,45.11044719409197,409,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
686,455937.0185728057,5733811.993896916,455982.1227053648,5733812.748663199,45.11044719409197,409,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
689,455944.9640196743,5734076.676340357,455936.7861879132,5734058.452102534,19.974978762766867,816,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
