start_node,end_node,length_m,street_id,street_name,highway_type,pipe_type,building_served,temperature_c,flow_direction,follows_street
"(456404.56974374293, 5734128.901018701)","(456420.49573522643, 5734121.099752178)",17.73406225550227,114,Street_114,residential,return,1661,40,building_to_plant,True
"(456420.49573522643, 5734121.099752178)","(456428.6611606045, 5734117.058355176)",9.110821112111369,114,Street_114,residential,return,1661,40,building_to_plant,True
"(456428.6611606045, 5734117.058355176)","(456416.37107808795, 5734091.160323195)",28.66625522698602,114,Street_114,residential,return,1661,40,building_to_plant,True
"(456428.0234672108, 5734054.5331985075)","(456349.5629734482, 5734005.561927239)",92.48910471557434,1076,Street_1076,residential,return,1663,40,building_to_plant,True
"(456413.6497383993, 5733803.077905145)","(456363.3600321561, 5733738.50246884)",81.84767270925475,901,Street_901,residential,return,1665,40,building_to_plant,True
"(456445.3594541093, 5733958.329350943)","(456426.1380664829, 5733920.41222688)",42.5108226158372,535,Street_535,residential,return,1673,40,building_to_plant,True
"(456406.70756619755, 5733662.204915229)","(456386.34904585214, 5733618.291639899)",48.40294516753857,1027,Street_1027,residential,return,1678,40,building_to_plant,True
"(456406.57991837786, 5733668.990738987)","(456403.4307550562, 5733672.833014946)",4.9679285597634895,1027,Street_1027,residential,return,1679,40,building_to_plant,True
"(456441.57791937876, 5733787.698539276)","(456413.6497383993, 5733803.077905145)",31.88272553200676,626,Street_626,residential,return,1686,40,building_to_plant,True
"(456447.67583805654, 5734021.829879689)","(456428.0234672108, 5734054.5331985075)",38.15393481150434,1074,Street_1074,residential,return,1689,40,building_to_plant,True
"(456466.39116483286, 5734694.979697517)","(456403.935148338, 5734693.306796767)",62.478417020045,986,Street_986,residential,return,1692,40,building_to_plant,True
"(456403.935148338, 5734693.306796767)","(456357.06071963476, 5734688.118322661)",47.16070747771048,986,Street_986,residential,return,1692,40,building_to_plant,True
"(456477.86308437615, 5733894.182960672)","(456409.34853660525, 5733805.406369522)",112.14065450353564,722,Street_722,residential,return,1712,40,building_to_plant,True
"(456419.4104782026, 5733539.447290211)","(456443.3823257512, 5733590.870487571)",56.73618511667783,947,Street_947,residential,return,1713,40,building_to_plant,True
"(456443.3823257512, 5733590.870487571)","(456397.7196806416, 5733612.798770865)",50.65497770855723,1026,Street_1026,residential,return,1713,40,building_to_plant,True
"(456432.29085890733, 5734137.670301647)","(456426.1771324949, 5734125.14366153)",13.938951297385138,117,Street_117,residential,return,1723,40,building_to_plant,True
"(456426.1771324949, 5734125.14366153)","(456420.67117733345, 5734121.431908639)",6.64022979730735,117,Street_117,residential,return,1723,40,building_to_plant,True
"(456420.67117733345, 5734121.431908639)","(456404.56974374293, 5734128.901018701)",17.749472352142057,117,Street_117,residential,return,1723,40,building_to_plant,True
"(456440.8995923723, 5734061.996212522)","(456428.0234672108, 5734054.5331985075)",14.882579660400848,1075,Street_1075,residential,return,1724,40,building_to_plant,True
"(456475.12418709154, 5734180.254937931)","(456476.00076557195, 5734196.219265845)",15.98837563884307,533,Street_533,residential,return,1728,40,building_to_plant,True
"(456476.00076557195, 5734196.219265845)","(456472.58491343755, 5734196.326651929)",3.417539696218416,534,Street_534,residential,return,1728,40,building_to_plant,True
"(456465.4009834531, 5734000.12120605)","(456483.37836088764, 5734031.542568415)",36.20066452890663,320,Street_320,residential,return,1735,40,building_to_plant,True
"(456483.37836088764, 5734031.542568415)","(456460.0772520334, 5734045.435788773)",27.128642534080477,423,Street_423,residential,return,1735,40,building_to_plant,True
"(456460.0772520334, 5734045.435788773)","(456447.67583805654, 5734021.829879689)",26.665221024885383,1074,Street_1074,residential,return,1735,40,building_to_plant,True
"(456424.2433782868, 5734634.626584987)","(456523.4406679614, 5734664.422555216)",103.57558650881205,801,Street_801,residential,return,1750,40,building_to_plant,True
