building_id,Sanierungszustand,A_NGF_m2,Ht_W_per_K,Q_kW_mittleres,Q_kW_kaltes,Q_kW_heisses
DEBBAL520000wbeh,teilsaniert,26.94,193.94,5.03984,4.92968,3.6353
DEBBAL520000wbep,teilsaniert,21.63,96.25,2.5011,2.44643,1.8040699999999998
DEBBAL520000wben,vollsaniert,24.33,205.94,2.26117,2.21175,1.63101
DEBBAL520000wbdW,teilsaniert,123.32,271.56,7.05683,6.90259,5.09017
DEBBAL520000wbe7,teilsaniert,52.04,245.32,6.37481,6.23547,4.59822
DEBBAL520000wbdx,teilsaniert,86.1,208.3,5.4129700000000005,5.29465,3.9044299999999996
DEBBAL520000wbea,teilsaniert,38.2,229.42,5.961810000000001,5.8315,4.30032
DEBBAL520000wbdf,teilsaniert,39.87,145.43,3.7792600000000003,3.69665,2.72602
DEBBAL520000wbef,teilsaniert,28.19,215.87,5.60956,5.48694,4.04624
DEBBAL520000wbec,teilsaniert,30.2,214.26,5.567699999999999,5.446,4.01604
DEBBAL520000wbdh,teilsaniert,3.32,27.38,0.55589,0.54034,0.35763
DEBBAL520000wbd9,teilsaniert,16.97,79.73,2.0718400000000003,2.02655,1.49444
DEBBAL520000wbed,teilsaniert,28.54,170.3,4.42542,4.32869,3.19211
DEBBAL520000wbeb,teilsaniert,21.27,118.49,3.079,3.0117,2.22092
DEBBAL520000wbej,teilsaniert,50.4,156.54,4.06796,3.97905,2.93427
DEBBAL520000wbet,teilsaniert,51.04,259.15,6.73426,6.58706,4.8575
DEBBAL520000wbe8,teilsaniert,26.08,146.2,3.79917,3.71613,2.7403899999999997
DEBBAL520000wbei,teilsaniert,30.63,180.91,4.701,4.59825,3.3908899999999997
DEBBAL520000wbeo,vollsaniert,25.16,141.2,1.55043,1.51654,1.11834
DEBBAL520000wbeg,teilsaniert,24.21,171.46,4.45548,4.35809,3.21379
DEBBAL520000wbes,teilsaniert,51.65,183.06,4.7569799999999995,4.65301,3.43127
DEBBAL520000waul,teilsaniert,389.3,1224.39,31.817040000000002,31.12159,22.95
DEBBAL520000wbd4,teilsaniert,68.04,175.71,4.56604,4.46624,3.29354
DEBBAL520000wbcS,teilsaniert,79.74,163.73,4.2546800000000005,4.1616800000000005,3.0689499999999996
DEBBAL520000wbdl,teilsaniert,256.34,372.18,9.67146,9.46006,6.97614
DEBBAL520000wbmi,unsaniert,171.76,384.38,14.068280000000001,13.76078,10.14761
DEBBAL520000wbSz,teilsaniert,158.54,345.66,8.98225,8.78592,6.479
DEBBAL520000wbV5,unsaniert,1.78,9.25,0.33873000000000003,0.33132,0.24433000000000002
DEBBAL520000wbkR,teilsaniert,144.32,283.8,7.37482,7.21362,5.31954
DEBBAL520000wbVV,vollsaniert,27.49,121.7,1.0441500000000001,1.01494,0.67176
DEBBAL520000wbT6,unsaniert,210.82,414.38,15.16618,14.83468,10.939540000000001
DEBBAL520000wbmF,unsaniert,20.17,95.79,2.73968,2.66305,1.7625899999999999
DEBBAL520000wbVU,teilsaniert,116.49,254.31,6.6084499999999995,6.464,4.76675
DEBBAL520000wblD,unsaniert,135.2,271.58,9.93992,9.72265,7.169779999999999
DEBBAL520000wbWN,unsaniert,157.65,309.6,11.33141,11.08373,8.17348
DEBBAL520000wbU7,unsaniert,151.35,282.95,10.35614,10.12978,7.47001
DEBBAL520000wbct,vollsaniert,23.57,185.24,2.03391,1.98945,1.46708
DEBBAL520000wbW1,teilsaniert,3.56,25.01,0.6499299999999999,0.63573,0.4688
DEBBAL520000wbV2,unsaniert,9.75,51.09,1.87008,1.8292,1.34891
DEBBAL520000wbcA,vollsaniert,32.27,110.4,1.21224,1.18574,0.8744
DEBBAL520000wbWj,unsaniert,113.05,240.1,8.787540000000002,8.59546,6.338550000000001
DEBBAL520000wblt,unsaniert,6.82,38.48,1.40847,1.37769,1.0159500000000001
DEBBAL520000wblp,unsaniert,178.97,381.99,13.98083,13.675229999999999,10.08453
DEBBAL520000wbbZ,teilsaniert,57.1,299.91,6.08988,5.91954,3.91797
DEBBAL520000wbSx,vollsaniert,33.55,100.78,1.10652,1.08233,0.79815
DEBBAL520000wbm0,unsaniert,199.78,361.18,13.21912,12.93018,9.535110000000001
