type,element,name,value,limit,severity
undervoltage,bus_107,n-4626137737,0.844 pu,0.900 pu,critical
undervoltage,bus_126,n-4626137756,0.892 pu,0.900 pu,warning
undervoltage,bus_212,n-4626137845,0.690 pu,0.900 pu,critical
undervoltage,bus_247,n-4626137882,0.638 pu,0.900 pu,critical
undervoltage,bus_301,n-4626137937,0.765 pu,0.900 pu,critical
undervoltage,bus_362,n-4626137999,0.881 pu,0.900 pu,warning
undervoltage,bus_365,n-4626138003,0.715 pu,0.900 pu,critical
undervoltage,bus_419,n-4626138059,0.892 pu,0.900 pu,warning
undervoltage,bus_526,n-4626138174,0.863 pu,0.900 pu,warning
undervoltage,bus_552,n-4626138202,0.763 pu,0.900 pu,critical
undervoltage,bus_641,n-4626138297,0.810 pu,0.900 pu,critical
undervoltage,bus_643,n-4626138299,0.849 pu,0.900 pu,critical
undervoltage,bus_658,n-4626138315,0.808 pu,0.900 pu,critical
undervoltage,bus_691,n-4626138349,0.700 pu,0.900 pu,critical
undervoltage,bus_784,n-4626138447,0.734 pu,0.900 pu,critical
undervoltage,bus_837,n-4626138502,0.826 pu,0.900 pu,critical
undervoltage,bus_844,n-4626138509,0.763 pu,0.900 pu,critical
undervoltage,bus_907,n-4626138574,0.881 pu,0.900 pu,warning
undervoltage,bus_936,n-4626138604,0.810 pu,0.900 pu,critical
undervoltage,bus_953,n-4626138622,0.809 pu,0.900 pu,critical
undervoltage,bus_1089,n-4626138763,0.871 pu,0.900 pu,warning
undervoltage,bus_1130,n-4626138806,0.826 pu,0.900 pu,critical
undervoltage,bus_1239,n-4626138922,0.700 pu,0.900 pu,critical
undervoltage,bus_1271,n-4626138956,0.863 pu,0.900 pu,warning
undervoltage,bus_1302,n-4626138988,0.765 pu,0.900 pu,critical
overload,line_1188,w-854066_-4626138607--4626138403,168.0%,100.0%,critical
overload,line_1189,w-854066_-4626138403--4626137832,174.0%,100.0%,critical
overload,line_1190,w-854066_-4626137832--4626138472,175.5%,100.0%,critical
overload,line_1191,w-854066_-4626138472--4626139038,663.7%,100.0%,critical
overload,line_1192,w-854066_-4626139038--4626138523,665.0%,100.0%,critical
overload,line_1193,w-854066_-4626138523--4626139017,666.5%,100.0%,critical
overload,line_1194,w-854066_-4626139017--4626138630,669.0%,100.0%,critical
overload,line_1195,w-854066_-4626138630--4626138165,670.6%,100.0%,critical
overload,line_1196,w-854066_-4626138165--4626138584,670.4%,100.0%,critical
overload,line_1211,w-854075_-4626137992--4626138016,107.2%,100.0%,warning
overload,line_1212,w-854075_-4626138016--4626138073,105.3%,100.0%,warning
overload,line_1213,w-854075_-4626138073--4626138764,103.0%,100.0%,warning
overload,line_1214,w-854075_-4626138764--4626137971,101.7%,100.0%,warning
overload,line_1329,w-854132_-4626137992--4626137761,142.4%,100.0%,critical
overload,line_1330,w-854132_-4626137761--4626138111,144.7%,100.0%,critical
overload,line_1331,w-854132_-4626138111--4626138703,147.0%,100.0%,critical
overload,line_1332,w-854132_-4626138703--4626138672,149.4%,100.0%,critical
overload,line_1333,w-854132_-4626138672--4626138585,151.1%,100.0%,critical
overload,line_1334,w-854132_-4626138585--4626138451,152.1%,100.0%,critical
overload,line_1335,w-854132_-4626138451--4626138337,153.8%,100.0%,critical
overload,line_1343,w-854140_-4626138433--4626138572,133.1%,100.0%,critical
overload,line_1344,w-854140_-4626138572--4626138532,133.1%,100.0%,critical
overload,line_1345,w-854140_-4626138532--4626138225,133.1%,100.0%,critical
overload,line_1346,w-854140_-4626138225--4626138325,133.1%,100.0%,critical
overload,line_1375,w-854159_-4626138355--4626138932,262.1%,100.0%,critical
overload,line_1376,w-854159_-4626138932--4626139023,263.7%,100.0%,critical
overload,line_1377,w-854159_-4626139023--4626137738,285.7%,100.0%,critical
overload,line_1378,w-854159_-4626137738--4626138826,286.4%,100.0%,critical
overload,line_1379,w-854159_-4626138826--4626138281,527.4%,100.0%,critical
overload,line_1380,w-854159_-4626138281--4626138245,527.5%,100.0%,critical
overload,line_1381,w-854159_-4626138245--4626138908,529.0%,100.0%,critical
overload,line_1382,w-854159_-4626138908--4626138564,531.1%,100.0%,critical
overload,line_1383,w-854159_-4626138564--4626138275,533.1%,100.0%,critical
overload,line_1384,w-854159_-4626138275--4626138081,535.6%,100.0%,critical
overload,line_1385,w-854159_-4626138081--4626138272,536.6%,100.0%,critical
overload,line_1386,w-854159_-4626138272--4626138789,538.7%,100.0%,critical
overload,line_1387,w-854159_-4626138789--4626138378,540.8%,100.0%,critical
overload,line_1388,w-854159_-4626138378--4626138632,542.0%,100.0%,critical
overload,line_1389,w-854159_-4626138632--4626139934,545.4%,100.0%,critical
overload,line_1390,w-854159_-4626139934--4626137807,545.4%,100.0%,critical
overload,line_1391,w-854159_-4626137807--4626138098,547.8%,100.0%,critical
overload,line_1392,w-854159_-4626138098--4626138752,549.2%,100.0%,critical
overload,line_1393,w-854159_-4626138752--4626137770,550.7%,100.0%,critical
overload,line_1394,w-854159_-4626137770--4626138831,552.1%,100.0%,critical
overload,line_1395,w-854159_-4626138831--4626138775,552.1%,100.0%,critical
